[x86] Gathering all referenced SSDTs from KTHREADs...
  Entry 0x00d3: 0x8060cbec (NtSetBootEntryOrder) owned by ntoskrnl.exe
  Entry 0x00d4: 0x8060cbec (NtSetBootOptions) owned by ntoskrnl.exe
  Entry 0x00d5: 0x805c79aa (NtSetContextThread) owned by ntoskrnl.exe
  Entry 0x00d6: 0x8063cb44 (NtSetDebugFilterState) owned by ntoskrnl.exe
  Entry 0x00d7: 0x8060aed2 (NtSetDefaultHardErrorPort) owned by ntoskrnl.exe
  Entry 0x00d8: 0x80607062 (NtSetDefaultLocale) owned by ntoskrnl.exe
  Entry 0x00d9: 0x806078d4 (NtSetDefaultUILanguage) owned by ntoskrnl.exe
  Entry 0x00da: 0x8056f958 (NtSetEaFile) owned by ntoskrnl.exe
  Entry 0x00db: 0x80605620 (NtSetEvent) owned by ntoskrnl.exe
  Entry 0x00dc: 0x806056ea (NtSetEventBoostPriority) owned by ntoskrnl.exe
  Entry 0x00dd: 0x8060d804 (NtSetHighEventPair) owned by ntoskrnl.exe
  Entry 0x00de: 0x8060d734 (NtSetHighWaitLowEventPair) owned by ntoskrnl.exe
  Entry 0x00df: 0x80639856 (NtSetInformationDebugObject) owned by ntoskrnl.exe
  Entry 0x00e0: 0x805702f6 (NtSetInformationFile) owned by ntoskrnl.exe
  Entry 0x00e1: 0x805ccc70 (NtSetInformationJobObject) owned by ntoskrnl.exe
  Entry 0x00e2: 0x8061905e (NtSetInformationKey) owned by ntoskrnl.exe
  Entry 0x00e3: 0x805ba510 (NtSetInformationObject) owned by ntoskrnl.exe
  Entry 0x00e4: 0x805c3dd4 (NtSetInformationProcess) owned by ntoskrnl.exe
  Entry 0x00e5: 0x805c1d94 (NtSetInformationThread) owned by ntoskrnl.exe
  Entry 0x00e6: 0x805f0204 (NtSetInformationToken) owned by ntoskrnl.exe
  Entry 0x00e7: 0x8060dc6c (NtSetIntervalProfile) owned by ntoskrnl.exe
  Entry 0x00e8: 0x8056e0e2 (NtSetIoCompletion) owned by ntoskrnl.exe
  Entry 0x00e9: 0x805c9bec (NtSetLdtEntries) owned by ntoskrnl.exe
  Entry 0x00ea: 0x8060d7a0 (NtSetLowEventPair) owned by ntoskrnl.exe
  Entry 0x00eb: 0x8060d6c8 (NtSetLowWaitHighEventPair) owned by ntoskrnl.exe
  Entry 0x00ec: 0x80570b42 (NtSetQuotaInformationFile) owned by ntoskrnl.exe
  Entry 0x00ed: 0x805b6040 (NtSetSecurityObject) owned by ntoskrnl.exe
  Entry 0x00ee: 0x8060ce8c (NtSetSystemEnvironmentValue) owned by ntoskrnl.exe
  Entry 0x00ef: 0x8060cbd0 (NtSetSystemEnvironmentValueEx) owned by ntoskrnl.exe
  Entry 0x00f0: 0x80605f20 (NtSetSystemInformation) owned by ntoskrnl.exe
  Entry 0x00f1: 0x806490d6 (NtSetSystemPowerState) owned by ntoskrnl.exe
  Entry 0x00f2: 0x8060a64e (NtSetSystemTime) owned by ntoskrnl.exe
  Entry 0x00f3: 0x805be1f8 (NtSetThreadExecutionState) owned by ntoskrnl.exe
  Entry 0x00f4: 0x8053517a (NtSetTimer) owned by ntoskrnl.exe
  Entry 0x00f5: 0x80609b20 (NtSetTimerResolution) owned by ntoskrnl.exe
  Entry 0x00f6: 0x8060b99c (NtSetUuidSeed) owned by ntoskrnl.exe
  Entry 0x00f7: 0x806188b6 (NtSetValueKey) owned by ntoskrnl.exe
  Entry 0x00f8: 0x80571478 (NtSetVolumeInformationFile) owned by ntoskrnl.exe
  Entry 0x00f9: 0x8060913c (NtShutdownSystem) owned by ntoskrnl.exe
  Entry 0x00fa: 0x80522c80 (NtSignalAndWaitForSingleObject) owned by ntoskrnl.exe
  Entry 0x00fb: 0x8060deb6 (NtStartProfile) owned by ntoskrnl.exe
  Entry 0x00fc: 0x8060e060 (NtStopProfile) owned by ntoskrnl.exe
  Entry 0x00fd: 0x805cad6a (NtSuspendProcess) owned by ntoskrnl.exe
  Entry 0x00fe: 0x805cabdc (NtSuspendThread) owned by ntoskrnl.exe
  Entry 0x00ff: 0x8060e284 (NtSystemDebugControl) owned by ntoskrnl.exe
  Entry 0x0100: 0x805cd7da (NtTerminateJobObject) owned by ntoskrnl.exe
  Entry 0x0101: 0x805c8caa (NtTerminateProcess) owned by ntoskrnl.exe
  Entry 0x0102: 0x805c8ea4 (NtTerminateThread) owned by ntoskrnl.exe
  Entry 0x0103: 0x805caf2a (NtTestAlert) owned by ntoskrnl.exe
  Entry 0x0104: 0x80531858 (NtTraceEvent) owned by ntoskrnl.exe
  Entry 0x0105: 0x8060cbfa (NtTranslateFilePath) owned by ntoskrnl.exe
  Entry 0x0106: 0x8057978e (NtUnloadDriver) owned by ntoskrnl.exe
  Entry 0x0107: 0x80618be0 (NtUnloadKey) owned by ntoskrnl.exe
  Entry 0x0108: 0x80618e02 (NtUnloadKeyEx) owned by ntoskrnl.exe
  Entry 0x0109: 0x8056e8c8 (NtUnlockFile) owned by ntoskrnl.exe
  Entry 0x010a: 0x805ac54e (NtUnlockVirtualMemory) owned by ntoskrnl.exe
  Entry 0x010b: 0x805a8306 (NtUnmapViewOfSection) owned by ntoskrnl.exe
  Entry 0x010c: 0x805f15bc (NtVdmControl) owned by ntoskrnl.exe
  Entry 0x010d: 0x806395be (NtWaitForDebugEvent) owned by ntoskrnl.exe
  Entry 0x010e: 0x805b61f6 (NtWaitForMultipleObjects) owned by ntoskrnl.exe
  Entry 0x010f: 0x805b610c (NtWaitForSingleObject) owned by ntoskrnl.exe
  Entry 0x0110: 0x8060d664 (NtWaitHighEventPair) owned by ntoskrnl.exe
  Entry 0x0111: 0x8060d600 (NtWaitLowEventPair) owned by ntoskrnl.exe
  Entry 0x0112: 0x805722ba (NtWriteFile) owned by ntoskrnl.exe
  Entry 0x0113: 0x805728ca (NtWriteFileGather) owned by ntoskrnl.exe
  Entry 0x0114: 0x8059b21e (NtWriteRequestData) owned by ntoskrnl.exe
  Entry 0x0115: 0x805a9890 (NtWriteVirtualMemory) owned by ntoskrnl.exe
  Entry 0x0116: 0x8050225c (NtYieldExecution) owned by ntoskrnl.exe
  Entry 0x0117: 0x8060e6dc (NtCreateKeyedEvent) owned by ntoskrnl.exe
  Entry 0x0118: 0x8060e7c6 (NtOpenKeyedEvent) owned by ntoskrnl.exe
  Entry 0x0119: 0x8060e878 (NtReleaseKeyedEvent) owned by ntoskrnl.exe
  Entry 0x011a: 0x8060eb04 (NtWaitForKeyedEvent) owned by ntoskrnl.exe
  Entry 0x011b: 0x805c1818 (NtQueryPortInformationProcess) owned by ntoskrnl.exe
SSDT[1] at bf99b600 with 667 entries
  Entry 0x1000: 0xbf937ba1 (NtGdiAbortDoc) owned by win32k.sys
  Entry 0x1001: 0xbf94912e (NtGdiAbortPath) owned by win32k.sys
  Entry 0x1002: 0xbf842023 (NtGdiAddFontResourceW) owned by win32k.sys
  Entry 0x1003: 0xbf940cde (NtGdiAddRemoteFontToDC) owned by win32k.sys
  Entry 0x1004: 0xbf94a745 (NtGdiAddFontMemResourceEx) owned by win32k.sys
  Entry 0x1005: 0xbf937e35 (NtGdiRemoveMergeFont) owned by win32k.sys
  Entry 0x1006: 0xbf937eda (NtGdiAddRemoteMMInstanceToDC) owned by win32k.sys
  Entry 0x1007: 0xbf891623 (NtGdiAlphaBlend) owned by win32k.sys
  Entry 0x1008: 0xbf94a06c (NtGdiAngleArc) owned by win32k.sys
  Entry 0x1009: 0xbf935fa0 (NtGdiAnyLinkedFonts) owned by win32k.sys
  Entry 0x100a: 0xbf94a664 (NtGdiFontIsLinked) owned by win32k.sys
  Entry 0x100b: 0xbf9104ea (NtGdiArcInternal) owned by win32k.sys
  Entry 0x100c: 0xbf90053d (NtGdiBeginPath) owned by win32k.sys
  Entry 0x100d: 0xbf80991d (NtGdiBitBlt) owned by win32k.sys
