Offset(P)    #Ptr   #Hnd Access Name
0x015221c0      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\advapi32.dll
0x015222d0      1      1 ------ \Device\NamedPipe\lsarpc
0x015226e8      1      0 R--r-d \Device\HarddiskVolume1\Program Files\VMware\VMware Tools\VMwareTray.exe
0x01523160      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\hidphone.tsp
0x01527b30      2      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\CMD.EXE-087B4001.pf
0x0152ddd0      1      0 -WD--- \Device\HarddiskVolume1\System Volume Information\_restore{4B989CFC-740C-440A-BDD6-14C17F1C60F1}\RP124\snapshot\Repository\FS\INDEX.BTR
0x015368e0      3      1 ------ \Device\NamedPipe\net\NtControlPipe13
0x015541e0      1      1 R--r-- \Device\HarddiskVolume1\WINDOWS\system32\ega.cpi
0x01554310      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\Fonts\dosapp.fon
0x015587c8      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\msxml3.dll
0x01558a70      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\msxml3r.dll
0x01558d18      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\digest.dll
0x015692c8      2      1 ------ \Device\NamedPipe\spoolss
0x01569bb8      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202
0x01569c50      1      1 ------ \Device\NamedPipe\net\NtControlPipe9
0x0156a908      3      1 R--rwd \Device\HarddiskVolume1\WINDOWS\Tasks
0x0156b2a0      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32
0x0156b790      1      1 ------ \Device\NamedPipe\epmapper
0x0156b828      2      1 ------ \Device\NamedPipe\epmapper
0x0156ca40      3      1 RW-r-- \Device\HarddiskVolume1\WINDOWS\SchedLgU.Txt
0x015710c0      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x01571328      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x01571500      2      1 ------ \Device\NamedPipe\Spooler\LPT1
0x015722c0      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\wbem\wbemprox.dll
0x01572358      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202
0x01572850      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x015728f8      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x01572e88      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202
0x01572f20      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202
0x015811c0      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\drprov.dll
0x01581b50      3      1 ------ \Device\NamedPipe\net\NtControlPipe17
0x01582f70      1      0 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\shell32.dll
0x01588a68      1      1 R--rw- \Device\HarddiskVolume1\Documents and Settings\Administrator
0x01589c78      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202
0x0158bc18      3      1 ------ \Device\NamedPipe\net\NtControlPipe7
0x0158c310      3      1 ------ \Device\NamedPipe\net\NtControlPipe0
0x0158db50      3      1 R--rwd \Device\HarddiskVolume1\Documents and Settings\Administrator\Application Data\Microsoft\SystemCertificates\My
0x0158dbe8      1      0 -WD--- \Device\HarddiskVolume1\System Volume Information\_restore{4B989CFC-740C-440A-BDD6-14C17F1C60F1}\RP123\snapshot\ComDb.Dat
0x015a0be8      1      1 ------ \Device\NamedPipe\net\NtControlPipe5
0x015a0c98      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32
0x015a1320      1      1 ------ \Device\Afd\Endpoint
0x015a14b0      3      1 ------ \Device\NamedPipe\net\NtControlPipe15
0x015a1f90      2      1 ------ \Device\Afd\Endpoint
0x015a3130      3      1 R--rwd \Device\HarddiskVolume1\Documents and Settings\Administrator\Desktop\Shylock4FDA5E7E8E682870E993F97AD26BA6B2
0x015a4d78      2      0 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\cmd.exe
0x015a4e10      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\spool\drivers\w32x86\3\TPPS.DLL
0x015a5658      1      1 RW---- \Device\HarddiskVolume1\Documents and Settings\NetworkService\Local Settings\Application Data\Microsoft\Windows\UsrClass.dat.LOG
0x015a9028      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\mui\0406
0x015a9148      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\mui\0416
0x015a9270      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\mui\0415
0x015a9398      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\mui\0414
0x015a94c0      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\mui\0413
0x015a95e8      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\mui\0412
0x015a9710      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\mui\0411
0x015a9838      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\mui\0410
0x015a9960      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\mui\040e
0x015a9a88      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\mui\040D
0x015a9bb0      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\mui\040C
0x015a9cd8      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\mui\040b
0x015a9e00      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\mui\0408
0x015a9f28      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\mui\0407
0x015aa1a8      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\msagent
0x015aa240      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system
0x015aa2d8      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\inf
0x015aa370      2      1 R--rw- \Device\HarddiskVolume1\Program Files\Common Files\System\Ole DB
0x015aa408      2      1 R--rw- \Device\HarddiskVolume1\Program Files\Common Files\System\ado
0x015aa5d8      2      1 R--rw- \Device\HarddiskVolume1\Program Files\Common Files\System\msadc
0x015aa670      2      1 R--rw- \Device\HarddiskVolume1\Program Files\Windows Media Player
0x015aa708      2      1 R--rw- \Device\HarddiskVolume1\Program Files\Common Files\Microsoft Shared\DAO
0x015aa7a0      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS
0x015aa908      2      1 R--rw- \Device\HarddiskVolume1\Program Files\Common Files\Microsoft Shared\web server extensions\40\isapi
0x015aa9a0      2      1 R--rw- \Device\HarddiskVolume1\Program Files\Common Files\Microsoft Shared\web server extensions\40\bin\1033
0x015aaa38      2      1 R--rw- \Device\HarddiskVolume1\Program Files\Common Files\Microsoft Shared\web server extensions\40\_vti_bin
0x015aaad0      2      1 R--rw- \Device\HarddiskVolume1\Program Files\microsoft frontpage\version3.0\bin
0x015aab68      2      1 R--rw- \Device\HarddiskVolume1\Program Files\Common Files\Microsoft Shared\web server extensions\40\bots\vinavbar
0x015aac00      2      1 R--rw- \Device\HarddiskVolume1\Program Files\Common Files\Microsoft Shared\web server extensions\40\servsupp
0x015aac98      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\drivers
0x015aad30      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\Fonts
0x015aadc8      2      1 R--rw- \Device\HarddiskVolume1\Program Files\Common Files\Microsoft Shared\web server extensions\40\bin
0x015aae60      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\inetsrv
0x015aaef8      2      1 R--rw- \Device\HarddiskVolume1\Program Files\Common Files\Microsoft Shared\web server extensions\40\_vti_bin\_vti_aut
0x015aaf90      2      1 R--rw- \Device\HarddiskVolume1\Program Files\Common Files\Microsoft Shared\web server extensions\40\isapi\_vti_aut
