 Offset(P)  Session     WindowStation          Atom  RefCount    HIndex     Pinned   Name
 0xd48ca68 ---------- ------------------     0xc0eb     1         235         0      GDI+ Accessibility
 0xd48ca68 ---------- ------------------     0xc0fe     2         254         0      BadApplicationNotificationWindowClass
 0xd48ca68 ---------- ------------------     0xc117     2         279         0      SysFader
 0xd48ca68 ---------- ------------------     0xc02f     1          47         1      SysWNDO
 0xd48ca68 ---------- ------------------     0xc05d     24         93         0      6.0.2600.6028!ComboBoxEx32
 0xd48ca68 ---------- ------------------     0xc06c     12        108         0      WOWLFChange
 0xd48ca68 ---------- ------------------     0xc07e     14        126         0      MSIMEReconvert
 0xd48ca68 ---------- ------------------     0xc080     23        128         0      MSIMEQueryPosition
 0xd48ca68 ---------- ------------------     0xc081     14        129         0      MSIMEModeBias
 0xd48ca68 ---------- ------------------     0xc08b     1         139         0      C:\WINDOWS\system32\ieframe.dll
 0xd48ca68 ---------- ------------------     0xc101     8         257         0      C:\WINDOWS\system32\ole32.dll
 0xd48ca68 ---------- ------------------     0xc024     1          36         1      DDEMLAnsiServer
 0xd48ca68 ---------- ------------------     0xc06e     12        110         0      WOWCHOOSEFONT_GETLOGFONT
 0xd48ca68 ---------- ------------------     0xc06f     24        111         0      commdlg_LBSelChangedNotify
 0xd48ca68 ---------- ------------------     0xc0c5     1         197         0      Logical Performed DropEffect
 0xd48ca68 ---------- ------------------     0xc0cc     1         204         0      Briefcase File Object
 0xd48ca68 ---------- ------------------     0xc0cd     1         205         0      DropEffectFolderList
 0xd48ca68 ---------- ------------------     0xc0d7     2         215         0      SapiTipWorkerClassV1.0
 0xd48ca68 ---------- ------------------     0xc106     2         262         0      TreeList
 0xd48ca68 ---------- ------------------     0xc119     4         281         0      AC_SearchComplete
